self.player_won ? 'WIN' : 'LOSS',self.total_gold_collected,self.steps_taken,self.deaths_by_pit,self.deaths_by_wumpus,self.num_pits,self.num_wumpus,self.gold_to_win,(self.initial_player_position != nil) ? int(self.initial_player_position.x) : 0,(self.initial_player_position != nil) ? int(self.initial_player_position.y) : 0,self.grid_size
WIN,2,15084,0,0,1,1,2,74,30,25
WIN,2,15054,0,0,1,1,2,98,82,25
WIN,2,15078,0,0,1,1,2,34,38,25
WIN,2,15095,0,0,1,1,2,78,26,25
WIN,2,10029,0,0,1,1,2,94,86,25
WIN,2,10004,0,0,1,1,2,86,94,25
WIN,2,10055,0,0,1,1,2,10,58,25
WIN,2,10023,0,0,1,1,2,94,34,25
WIN,2,5006,0,0,1,1,2,74,90,25
LOSS,0,5000,0,0,1,1,2,98,82,25
WIN,3,15144,0,0,1,1,3,66,54,25
WIN,3,15102,0,0,1,1,3,30,94,25
LOSS,0,15100,0,0,1,1,3,82,82,25
WIN,3,15130,0,0,1,1,3,94,86,25
LOSS,1,10014,0,0,1,1,3,46,34,25
WIN,3,10086,0,0,1,1,3,6,58,25
LOSS,2,10018,0,0,1,1,3,38,62,25
LOSS,1,10015,0,0,1,1,3,26,94,25
LOSS,2,5000,0,0,1,1,3,50,58,25
LOSS,2,5005,0,0,1,1,3,94,6,25
LOSS,3,15072,0,0,1,1,4,58,50,25
LOSS,2,15086,0,0,1,1,4,2,38,25
LOSS,3,15072,0,0,1,1,4,54,34,25
WIN,4,15107,0,0,1,1,4,74,46,25
LOSS,2,10021,0,0,1,1,4,58,50,25
LOSS,3,10023,0,0,1,1,4,74,82,25
LOSS,3,10026,0,0,1,1,4,46,22,25
LOSS,3,10018,0,0,1,1,4,66,38,25
LOSS,3,5001,0,0,1,1,4,6,54,25
LOSS,2,5000,0,0,1,1,4,50,82,25
WIN,2,15070,0,0,1,2,2,66,14,25
WIN,2,15166,0,0,1,2,2,38,54,25
WIN,2,15150,0,0,1,2,2,78,62,25
WIN,2,15159,0,0,1,2,2,82,38,25
WIN,2,10005,0,0,1,2,2,58,82,25
WIN,2,10067,0,0,1,2,2,10,34,25
WIN,2,10013,0,0,1,2,2,50,34,25
WIN,2,10043,0,0,1,2,2,14,50,25
WIN,2,5006,0,0,1,2,2,10,94,25
LOSS,1,5000,0,0,1,2,2,62,58,25
LOSS,1,15097,0,0,1,2,3,42,30,25
WIN,3,15128,0,0,1,2,3,50,34,25
WIN,3,15113,0,0,1,2,3,6,14,25
LOSS,1,15091,0,0,1,2,3,86,90,25
LOSS,2,10006,0,0,1,2,3,18,54,25
LOSS,2,10019,0,0,1,2,3,58,90,25
LOSS,1,10008,0,0,1,2,3,54,14,25
WIN,3,10023,0,0,1,2,3,78,54,25
WIN,3,5010,0,0,1,2,3,94,22,25
LOSS,2,5000,0,0,1,2,3,94,50,25
WIN,4,15146,0,0,1,2,4,26,62,25
LOSS,3,15098,0,0,1,2,4,94,2,25
LOSS,2,15083,0,0,1,2,4,46,58,25
LOSS,1,15086,0,0,1,2,4,54,2,25
LOSS,1,10009,0,0,1,2,4,46,26,25
LOSS,2,10016,0,0,1,2,4,26,54,25
WIN,4,10071,0,0,1,2,4,26,74,25
LOSS,3,10016,0,0,1,2,4,18,10,25
WIN,4,5003,0,0,1,2,4,18,74,25
LOSS,2,5000,0,0,1,2,4,70,94,25
WIN,2,15123,0,0,2,1,2,38,74,25
WIN,2,15141,0,0,2,1,2,14,74,25
LOSS,1,15049,0,0,2,1,2,82,62,25
WIN,2,15088,0,0,2,1,2,10,34,25
WIN,2,10054,0,0,2,1,2,2,54,25
WIN,2,10051,0,0,2,1,2,10,86,25
WIN,2,10032,0,0,2,1,2,14,86,25
LOSS,1,10002,0,0,2,1,2,62,26,25
WIN,2,5005,0,0,2,1,2,86,42,25
WIN,2,5000,0,0,2,1,2,30,2,25
WIN,3,15187,0,0,2,1,3,42,46,25
WIN,3,15257,0,0,2,1,3,10,34,25
LOSS,2,15161,0,0,2,1,3,10,86,25
WIN,3,15263,0,0,2,1,3,10,46,25
LOSS,1,10012,0,0,2,1,3,90,78,25
LOSS,2,10010,0,0,2,1,3,94,74,25
LOSS,0,10001,0,0,2,1,3,62,62,25
WIN,3,10053,0,0,2,1,3,2,78,25
WIN,3,5001,0,0,2,1,3,46,70,25
LOSS,0,5000,0,0,2,1,3,82,70,25
LOSS,3,15165,0,0,2,1,4,18,94,25
LOSS,2,15170,0,0,2,1,4,6,22,25
WIN,4,15250,0,0,2,1,4,2,54,25
LOSS,3,15151,0,0,2,1,4,14,74,25
WIN,4,10031,0,0,2,1,4,94,74,25
WIN,4,10119,0,0,2,1,4,18,78,25
LOSS,2,10009,0,0,2,1,4,62,46,25
LOSS,2,10003,0,0,2,1,4,14,34,25
WIN,4,5000,0,0,2,1,4,78,30,25
WIN,4,5000,0,0,2,1,4,30,58,25
WIN,2,15065,0,0,2,2,2,62,34,25
WIN,2,15088,0,0,2,2,2,10,38,25
WIN,2,15083,0,0,2,2,2,62,82,25
WIN,2,15088,0,0,2,2,2,10,78,25
LOSS,1,10000,0,0,2,2,2,66,66,25
WIN,2,10056,0,0,2,2,2,2,90,25
WIN,2,10013,0,0,2,2,2,14,34,25
WIN,2,10011,0,0,2,2,2,58,10,25
WIN,2,5000,0,0,2,2,2,18,46,25
WIN,2,5001,0,0,2,2,2,94,78,25
WIN,3,15147,0,0,2,2,3,2,42,25
WIN,3,15134,0,0,2,2,3,2,86,25
WIN,3,15163,0,0,2,2,3,42,86,25
WIN,3,15121,0,0,2,2,3,86,26,25
WIN,3,10100,0,0,2,2,3,30,42,25
WIN,3,10032,0,0,2,2,3,58,10,25
LOSS,0,10009,0,0,2,2,3,66,46,25
WIN,3,10053,0,0,2,2,3,94,10,25
WIN,3,5006,0,0,2,2,3,42,22,25
LOSS,0,5000,0,0,2,2,3,58,66,25
LOSS,3,15110,0,0,2,2,4,14,70,25
LOSS,3,15097,0,0,2,2,4,94,74,25
LOSS,2,15115,0,0,2,2,4,70,46,25
LOSS,2,15141,0,0,2,2,4,26,6,25
LOSS,1,10004,0,0,2,2,4,6,38,25
LOSS,1,10011,0,0,2,2,4,46,82,25
LOSS,2,10016,0,0,2,2,4,70,6,25
WIN,4,10040,0,0,2,2,4,78,30,25
LOSS,1,5001,0,0,2,2,4,98,82,25
WIN,4,5000,0,0,2,2,4,34,82,25
WIN,2,15105,0,0,3,1,2,62,46,25
WIN,2,15090,0,0,3,1,2,46,98,25
LOSS,1,15083,0,0,3,1,2,90,26,25
LOSS,1,15112,0,0,3,1,2,78,74,25
WIN,2,10030,0,0,3,1,2,18,86,25
LOSS,0,10000,0,0,3,1,2,2,66,25
LOSS,0,10008,0,0,3,1,2,22,38,25
WIN,2,10012,0,0,3,1,2,14,74,25
WIN,2,5000,0,0,3,1,2,22,94,25
WIN,2,5001,0,0,3,1,2,38,70,25
WIN,3,15215,0,0,3,1,3,54,70,25
LOSS,2,15127,0,0,3,1,3,58,14,25
WIN,3,15208,0,0,3,1,3,6,94,25
