self.player_won ? 'WIN' : 'LOSS',self.total_gold_collected,self.steps_taken,self.deaths_by_pit,self.deaths_by_wumpus,self.num_pits,self.num_wumpus,self.gold_to_win,(self.initial_player_position != nil) ? int(self.initial_player_position.x) : 0,(self.initial_player_position != nil) ? int(self.initial_player_position.y) : 0,self.grid_size
WIN,2,10159,0,0,1,1,2,34,46,15
WIN,2,10045,0,0,1,1,2,34,42,15
WIN,2,10196,0,0,1,1,2,54,46,15
LOSS,1,10000,0,0,1,1,2,54,34,15
WIN,2,5000,0,0,1,1,2,86,58,15
WIN,2,9999,0,0,1,1,2,94,70,25
WIN,2,10006,0,0,1,1,2,62,26,25
WIN,2,10160,0,0,1,1,2,82,14,25
WIN,2,10055,0,0,1,1,2,62,10,25
LOSS,1,5000,0,0,1,1,2,98,46,25
WIN,3,10292,0,0,1,1,3,54,94,15
LOSS,0,9998,0,0,1,1,3,94,50,15
WIN,3,10110,0,0,1,1,3,86,54,15
WIN,3,10312,0,0,1,1,3,82,18,15
WIN,3,5000,0,0,1,1,3,98,50,15
WIN,3,10000,0,0,1,1,3,26,46,25
WIN,3,10021,0,0,1,1,3,94,14,25
WIN,3,10021,0,0,1,1,3,34,18,25
WIN,3,10016,0,0,1,1,3,70,70,25
LOSS,0,5000,0,0,1,1,3,82,22,25
WIN,4,10822,0,0,1,1,4,46,2,15
WIN,4,10345,0,0,1,1,4,46,58,15
WIN,4,10066,0,0,1,1,4,50,58,15
LOSS,2,10001,0,0,1,1,4,2,58,15
WIN,4,5000,0,0,1,1,4,26,26,15
WIN,4,10974,0,0,1,1,4,66,66,25
LOSS,2,10177,0,0,1,1,4,74,14,25
WIN,4,10480,0,0,1,1,4,86,46,25
LOSS,3,10001,0,0,1,1,4,90,78,25
LOSS,2,5000,0,0,1,1,4,78,82,25
WIN,2,10302,0,0,1,2,2,50,34,15
WIN,2,10488,0,0,1,2,2,2,58,15
WIN,2,10291,0,0,1,2,2,58,18,15
LOSS,0,10000,0,0,1,2,2,74,66,15
WIN,2,5000,0,0,1,2,2,54,46,15
WIN,2,10427,0,0,1,2,2,6,62,25
WIN,2,10002,0,0,1,2,2,34,14,25
LOSS,0,10061,0,0,1,2,2,70,98,25
WIN,2,10219,0,0,1,2,2,30,42,25
WIN,2,5000,0,0,1,2,2,2,26,25
WIN,3,10095,0,0,1,2,3,98,10,15
WIN,3,10020,0,0,1,2,3,58,34,15
WIN,3,10213,0,0,1,2,3,50,22,15
WIN,3,9998,0,0,1,2,3,86,10,15
WIN,3,5000,0,0,1,2,3,70,70,15
LOSS,1,10176,0,0,1,2,3,2,30,25
WIN,3,10727,0,0,1,2,3,58,78,25
LOSS,2,10000,0,0,1,2,3,82,38,25
WIN,3,10955,0,0,1,2,3,98,6,25
WIN,3,5000,0,0,1,2,3,2,90,25
