self.player_won ? 'WIN' : 'LOSS',self.total_gold_collected,self.steps_taken,self.deaths_by_pit,self.deaths_by_wumpus,self.num_pits,self.num_wumpus,self.gold_to_win,(self.initial_player_position != nil) ? int(self.initial_player_position.x) : 0,(self.initial_player_position != nil) ? int(self.initial_player_position.y) : 0,self.grid_size
WIN,2,10170,0,0,1,1,2,74,14,15
WIN,2,9874,0,0,1,1,2,2,82,15
WIN,2,9985,0,0,1,1,2,46,62,15
WIN,2,9972,0,0,1,1,2,90,6,15
LOSS,0,5000,0,0,1,1,2,66,18,15
WIN,2,11835,0,0,1,1,2,2,14,25
WIN,2,10893,0,0,1,1,2,18,58,25
WIN,2,10390,0,0,1,1,2,18,50,25
WIN,2,10231,0,0,1,1,2,6,58,25
WIN,2,5000,0,0,1,1,2,14,86,25
LOSS,1,10074,0,0,1,1,3,42,54,15
WIN,3,10535,0,0,1,1,3,14,66,15
WIN,3,10632,0,0,1,1,3,50,38,15
LOSS,1,10116,0,0,1,1,3,94,42,15
WIN,3,5000,0,0,1,1,3,22,78,15
LOSS,1,11310,0,0,1,1,3,94,30,25
LOSS,1,11014,0,0,1,1,3,74,82,25
WIN,3,11301,0,0,1,1,3,74,18,25
LOSS,0,10887,0,0,1,1,3,62,54,25
WIN,3,5000,0,0,1,1,3,58,14,25
LOSS,2,10102,0,0,1,1,4,34,26,15
WIN,4,10598,0,0,1,1,4,18,10,15
LOSS,3,10386,0,0,1,1,4,30,54,15
LOSS,1,10743,0,0,1,1,4,90,2,15
LOSS,3,5000,0,0,1,1,4,90,78,15
LOSS,2,10667,0,0,1,1,4,86,70,25
WIN,4,10661,0,0,1,1,4,70,86,25
LOSS,3,11179,0,0,1,1,4,6,50,25
WIN,4,11630,0,0,1,1,4,14,50,25
LOSS,3,5000,0,0,1,1,4,26,14,25
WIN,2,11139,0,0,1,2,2,70,74,15
WIN,2,10652,0,0,1,2,2,98,62,15
LOSS,1,10682,0,0,1,2,2,74,50,15
WIN,2,10645,0,0,1,2,2,90,50,15
LOSS,1,5000,0,0,1,2,2,70,66,15
WIN,2,10529,0,0,1,2,2,46,94,25
WIN,2,10407,0,0,1,2,2,2,38,25
LOSS,1,10278,0,0,1,2,2,78,90,25
LOSS,1,10598,0,0,1,2,2,14,62,25
WIN,2,5000,0,0,1,2,2,22,22,25
LOSS,0,11120,0,0,1,2,3,86,82,15
WIN,3,10864,0,0,1,2,3,50,74,15
WIN,3,11206,0,0,1,2,3,82,30,15
LOSS,1,10386,0,0,1,2,3,82,42,15
LOSS,2,5000,0,0,1,2,3,54,22,15
LOSS,2,10710,0,0,1,2,3,34,58,25
LOSS,2,11172,0,0,1,2,3,90,70,25
LOSS,1,11067,0,0,1,2,3,22,14,25
WIN,3,10108,0,0,1,2,3,46,90,25
LOSS,1,5000,0,0,1,2,3,78,14,25
LOSS,1,9986,0,0,1,2,4,98,18,15
WIN,4,10091,0,0,1,2,4,14,94,15
LOSS,1,10533,0,0,1,2,4,98,58,15
LOSS,2,10092,0,0,1,2,4,2,38,15
LOSS,3,5000,0,0,1,2,4,74,14,15
LOSS,0,10365,0,0,1,2,4,86,26,25
LOSS,3,10718,0,0,1,2,4,66,58,25
LOSS,1,10500,0,0,1,2,4,50,18,25
LOSS,3,10549,0,0,1,2,4,86,2,25
WIN,4,5000,0,0,1,2,4,98,42,25
WIN,2,10957,0,0,2,1,2,14,30,15
WIN,2,10869,0,0,2,1,2,90,62,15
LOSS,1,10826,0,0,2,1,2,86,46,15
LOSS,1,10851,0,0,2,1,2,70,14,15
WIN,2,5000,0,0,2,1,2,78,50,15
WIN,2,10221,0,0,2,1,2,98,98,25
WIN,2,10394,0,0,2,1,2,10,18,25
WIN,2,11119,0,0,2,1,2,2,94,25
WIN,2,11012,0,0,2,1,2,34,26,25
WIN,2,5000,0,0,2,1,2,82,26,25
WIN,3,10218,0,0,2,1,3,66,70,15
LOSS,1,10516,0,0,2,1,3,86,18,15
WIN,3,10693,0,0,2,1,3,86,26,15
LOSS,1,10317,0,0,2,1,3,94,34,15
LOSS,2,5000,0,0,2,1,3,26,14,15
LOSS,2,10079,0,0,2,1,3,70,78,25
LOSS,1,10043,0,0,2,1,3,86,46,25
WIN,3,10099,0,0,2,1,3,54,62,25
